enabled,priority_rank,source_origin,source_type,source_ref,source_title,source_language,author_name,channel_url,description,keywords,published,published_at,published_post_ids
true,2,kcoc_shorts,short,https://www.youtube.com/shorts/_-I6iR6BKxo,Найкраще попереду #воскресіння  #bible #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,3,kcoc_shorts,short,https://www.youtube.com/shorts/HRjJXoYbBJo,Запрошуємо на Великоднє богослужіння 20.04.25 о 7 ранку в Собор Христа,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,4,kcoc_shorts,short,https://www.youtube.com/shorts/lBHdwgc7Lgg,В кожному дні так багато речей за які ми вдячні Богу #подяка #сенс #thanksgiving,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,5,kcoc_shorts,short,https://www.youtube.com/shorts/ziKvaO-5d1M,Це інтерв'ю варто почути... #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,6,kcoc_shorts,short,https://www.youtube.com/shorts/T6LdCZgDD8s,Очікування від Бога #бог #bible #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,7,kcoc_shorts,short,https://www.youtube.com/shorts/qP9WOnxoC9Q,Що Бог досягав в серці Йова? #бог #bible #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,8,kcoc_shorts,short,https://www.youtube.com/shorts/2s4DvOKSJTE,Неправильні очікування від Бога #бог #bible #kcocua,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,12,kcoc_shorts,short,https://www.youtube.com/shorts/L-w7jP6US80,Попередня благодать #благодать #shorts #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,13,kcoc_shorts,short,https://www.youtube.com/shorts/zEFrdRs0ICY,Той Самий нащадок Єви #благодать #shorts #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,14,kcoc_shorts,short,https://www.youtube.com/shorts/C9kcSbc55aI,Приходь на богослужіння 14.07.24 о 14:00 / #kcocua #icoc #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,15,kcoc_shorts,short,https://www.youtube.com/shorts/Ap0YrFwxkpI,Молитва в перші дні активної фази війни #kcocua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,16,kcoc_shorts,short,https://www.youtube.com/shorts/TG3Vkr0hE28,Під час випробовувань не дивись на інших #kcocua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,17,kcoc_shorts,short,https://www.youtube.com/shorts/0PvWbvYWSro,Чого споконвіку хоче Бог? #благодать #shorts #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,18,kcoc_shorts,short,https://www.youtube.com/shorts/92E6yY40jiQ,"Не буду брати в руки зброю, але боюсь осуду #kcocua #shorts",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,19,kcoc_shorts,short,https://www.youtube.com/shorts/jKfDv0FRde0,Шлях Господа - це служіння. #kcocua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,20,kcoc_shorts,short,https://www.youtube.com/shorts/CfJhWOR6JdI,🎉 Вітаємо Харківську Церкву Христа з 30-річчям 😇 #khcocua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,21,kcoc_shorts,short,https://www.youtube.com/shorts/JpPn7cfeB-k,"Ісус тобі каже: ""Іди за Мною!"" #kcocua #shorts",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,22,kcoc_shorts,short,https://www.youtube.com/shorts/vV0T6qO_KJY,В чому справжня значимість? Дізнаєшся у новому відео #благодать #духовнийрозвиток  #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,23,kcoc_shorts,short,https://www.youtube.com/shorts/Dtpgaq7Tqn0,Дивись нове відео про діючу благодать. Посилання в описі👇#благодать #духовнийрозвиток  #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,24,kcoc_shorts,short,https://www.youtube.com/shorts/CoJXj1G9N4U,Запрошуємо на святкове недільне зібрання Київської Церкви Христа 09.06 о 15:00 #kcocua #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,25,kcoc_shorts,short,https://www.youtube.com/shorts/WqvcHipR1WY,Приходь на богослужіння 02.06.24 о 14:00 / #kcocua #icoc #god,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,26,kcoc_shorts,short,https://www.youtube.com/shorts/nnBPalD0OJw,"Хочеш для себе доброго, приємного? - Божа воля #благодать #віра  #bible",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,27,kcoc_shorts,short,https://www.youtube.com/shorts/q0DSUuapeWw,Який сенс нашого життя? - відповідь за посиланням в описі #благодать #сенсжиття #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,28,kcoc_shorts,short,https://www.youtube.com/shorts/vH8Ja-XPF0U,Як діє благодать? #благодать #shorts #bible,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,29,kcoc_shorts,short,https://www.youtube.com/shorts/Zx6HyMW57Z4,Великдень 2024. Христос Воскрес! // #kcocua #icoc #kcoc #shorts #live,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,30,kcoc_shorts,short,https://www.youtube.com/shorts/2WbzszSWX-M,Приходь на богослужіння 28.04.24 о 14:00 / #kcocua #icoc #kcoc #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,31,kcoc_shorts,short,https://www.youtube.com/shorts/rwLo_BH24MY,"💗 Запрошуємо на жіночий семінар-практикум / 27.04.24, 15:00 #kcocua #kcoc #shorts",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,32,kcoc_shorts,short,https://www.youtube.com/shorts/o3yTRNuuEQE,ВИЇЗД ОДРУЖЕНИХ 05-07.04.24 💞 #kcocua #icoc #kcoc #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,36,kcoc_shorts,short,https://www.youtube.com/shorts/Y0TEgvPypEI,«Співайте Йому! Пісню хвали Йому співайте! Славте всі Його діла чудесні!» 🙌🏻‭‭ (Псалми‬ ‭105‬:‭2‬‬‬),uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,37,kcoc_shorts,short,https://www.youtube.com/shorts/lyb3Jyw7Crc,Запрошуємо на богослужіння 17.03.24 о 14:00 / #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,38,kcoc_shorts,short,https://www.youtube.com/shorts/3EkQJ__GcSc,Запрошуємо на богослужіння 10.03.24 о 14:00 / #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,39,kcoc_shorts,short,https://www.youtube.com/shorts/Vpa1JGI9cnM,Для тебе послання👆💌,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,40,kcoc_shorts,short,https://www.youtube.com/shorts/Vi3nMQbO0Mk,💑 10.02.24 - вінчання Олександра та Юлії Звездецьких 💞 #shorts,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,41,kcoc_shorts,short,https://www.youtube.com/shorts/AH1DMgSJHl4,Хотіли тобі нагадати☝🏻Його любов безумовна і досконала! 💖 #kcoc #KCOCUA #kievchurch,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,42,kcoc_shorts,short,https://www.youtube.com/shorts/ojtXg-xSO6Q,ВЖЕ ЗАВТРА! 🚨Наші брати їдуть у чергову поїздку до прифронтових міст України 🇺🇦 #kcocua #kievchurch,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,43,kcoc_shorts,short,https://www.youtube.com/shorts/6Fz4UIqF9rU,"«Блаженний той, хто слухає Слово Боже й дотримується його!» 🙏🏻📖😇Від Луки 11:28 #kcocua #kievchurch",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,44,kcoc_shorts,short,https://www.youtube.com/shorts/QyD_FMmQgiI,Наша віра може творити дива! Нам просто потрібно робити якісь кроки для цього. Молитися про це 🙏🏻,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,45,kcoc_shorts,short,https://www.youtube.com/shorts/x52wBWEzoN4,Суботнє зібрання молодіжки😍🔥,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,46,kcoc_shorts,short,https://www.youtube.com/shorts/66S4pZfeUCc,Відзначайте друзів з якими ви так само запалюєте під улюблені пісні!,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,47,kcoc_shorts,short,https://www.youtube.com/shorts/tHlDlFn3LJo,НЕДІЛЬНЕ БОГОСЛУЖІННЯ-ПОКЛОНІННЯ 💒🗣️✨  #kcocua #kievchurch  #kcocworship,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,48,kcoc_shorts,short,https://www.youtube.com/shorts/Gku0xhi07Ws,"Запрошуємо 28 жовтня о 21:00 переглянути прем'єру вечора прославлення в таборі ""Вартові змін 2""",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,49,kcoc_shorts,short,https://www.youtube.com/shorts/w29yDng_7v8,"Чекаємо вас на недільному зібранні! 14:00 ""Собор Христа"" Полуботка 34а",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,50,kcoc_shorts,short,https://www.youtube.com/shorts/YMkhaPLtIXo,Дорогі мами та їх доньки!Нагадуємо про неймовірну можливість провести час разом 14-15.10 у МОЦ Фавор,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,51,kcoc_shorts,short,https://www.youtube.com/shorts/rDmSZLAxmXM,"Відкрий Біблію, там у Бога є для тебе відповідь ❤️‍🩹",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,52,kcoc_shorts,short,https://www.youtube.com/shorts/Sz_pZfEwgQ4,Посилання на проповідь: https://www.youtube.com/live/ZxVs2LsIWXE?feature=shared,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,53,kcoc_shorts,short,https://www.youtube.com/shorts/6Pipxhqi0lo,"Невеликий шматочок нашого підліткового поклоніння в таборі ""Вартові змін 2""",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,54,kcoc_shorts,short,https://www.youtube.com/shorts/6mmh03yY94I,"Вже завтра! 27.08 | 14:00 | «Собор Христа», Полуботка 34а",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,55,kcoc_shorts,short,https://www.youtube.com/shorts/Upmq1LLItwA,Хрещення Вероніки Андронік - 08.08.23,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,56,kcoc_shorts,short,https://www.youtube.com/shorts/d8pKmJ4ThIs,Хрещення Вадима Прокопенко - 06.08.23,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,57,kcoc_shorts,short,https://www.youtube.com/shorts/ECyO9A6Q4AQ,Хрещення Северин Платона - 22.07.23,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,58,kcoc_shorts,short,https://www.youtube.com/shorts/v0Xc8VstIRc,Хрещення Ріти Гетун - 09.07.23,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,59,kcoc_shorts,short,https://www.youtube.com/shorts/SkAOmSfAXUA,Ціль: 30 000. Номер картки банки: 5375 4112 0697 6792,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,60,kcoc_shorts,short,https://www.youtube.com/shorts/TPvpWIhvoyA,"Приїхавши до табору, Єва ще не знала, що саме тут через 5 днів, почнеться її нове життя з Богом 😍🙏🏼",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,61,kcoc_shorts,short,https://www.youtube.com/shorts/tbdfNPuiTv8,А що є перемога для тебе?👇🏆,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,62,kcoc_shorts,short,https://www.youtube.com/shorts/kK1XcBD5v-U,Поділіться у коментарях своїми улюбленими християнськими фільмами ⬇️,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,63,kcoc_shorts,short,https://www.youtube.com/shorts/64N0yZSUjPc,"Цієї суботи відбудеться Біблійний простір ""Діяльність Святого Духа""",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,64,kcoc_shorts,short,https://www.youtube.com/shorts/qDLg-A16Pkw,Дорогі друзі! Два тижні тому відбулася наша поїздка в Авдіївку 🇺🇦  Подробиці читай в коментарях 👇,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,65,kcoc_shorts,short,https://www.youtube.com/shorts/uy2DXCMC9H8,Небеса радіють! 🥳За останній місяць у нас було 8 хрещень і 1 відновлення у Христі!,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,66,kcoc_shorts,short,https://www.youtube.com/shorts/oWa_MD7hiiU,"Друзі, вже цієї середи (21.06) відбудеться наша чергова поїздка в Авдіївку 🇺🇦",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,67,kcoc_shorts,short,https://www.youtube.com/shorts/drKF5kZuvbs,"Давайте ще раз зануримося в цей особливий день , День Народження Київської Церкви Христа🎉",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,68,kcoc_shorts,short,https://www.youtube.com/shorts/IaPRAb0joZY,Бог живе всередині вас ❤️Починаючи це усвідомлювати життя може координально зміниться 🙌🏻,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,69,kcoc_shorts,short,https://www.youtube.com/shorts/CdB9gTGVfpY,Ось так і пройшов наш молодіжний християнський стендап! 🔥Величезна подяка львівській молоді!❤️,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,70,kcoc_shorts,short,https://www.youtube.com/shorts/lw3WMK0BOTA,"Служіння дітям, які пережили окупацію. Село Козаровичи.",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,71,kcoc_shorts,short,https://www.youtube.com/shorts/unCTnAEy4Ys,Проходь повз!,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,72,kcoc_shorts,short,https://www.youtube.com/shorts/lEdwO-PP-zU,Великдень наближається... Максим Лівшиць,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,73,kcoc_shorts,short,https://www.youtube.com/shorts/muUkJpBysro,Хрещення Маші Акімової 01.04.23,uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
true,74,kcoc_shorts,short,https://www.youtube.com/shorts/hIhUeTa8j1E,"Пісня ""Океани""",uk,KCOC,https://www.youtube.com/@KCOC/shorts,,,,,
